sol_id,method,primary,eps_f2,eps_f3,f1,f2,f3,eps_f1,w1,w2,w3
eps_f1_0,eps,f1,977641541.6666676,-104038.99908285271,4403.0216372176465,977641541.6666669,3184.9251108704193,,,,
eps_f1_2,eps,f1,977641541.6666676,-52345.300706855094,4403.021637217075,977641541.666667,619.9251108704193,,,,
eps_f1_4,eps,f1,977641541.6666676,-651.6023308574804,4403.021637217354,977641541.6666669,-525.0748891295734,,,,
eps_f1_7,eps,f1,1009603187.2976198,-52345.300706855094,600.7683984461871,1009603187.2891121,3033.7110141492885,,,,
eps_f1_10,eps,f1,1009603187.2976198,25195.24685714132,600.7683979952232,1009603187.2976195,25198.71101414929,,,,
eps_f1_11,eps,f1,1009603187.2976198,51042.09604514015,604.256848382121,1009603187.2976205,51053.69995765721,,,,
eps_f1_12,eps,f1,1009603187.2976198,76888.94523313896,4921.663863998448,1009603187.2976207,76888.94523313906,,,,
eps_f1_19,eps,f1,1041564832.9285722,51042.09604514015,213.94508645107553,1041564832.928572,51042.162032765365,,,,
eps_f1_20,eps,f1,1041564832.9285722,76888.94523313896,4921.6638639958555,1041564832.9285723,76888.94523313896,,,,
eps_f1_27,eps,f1,1073526478.5595244,51042.09604514015,213.94508639220695,1073526478.5595247,51042.576198613766,,,,
eps_f1_36,eps,f1,1105488124.1904767,76888.94523313896,4921.663863995813,1105488124.1904767,76888.94523313896,,,,
eps_f1_37,eps,f1,1137449769.821429,-104038.99908285271,5.377936657083902,1137449769.8214288,-47483.9990828527,,,,
eps_f2_1,eps,f2,,-78192.14989485391,5.377936657137377,1031977889.0833338,-1413.9990828527225,5.377936657137383,,,
eps_f2_3,eps,f2,,-26498.45151885628,5.377936657137384,1031977889.0833342,7616.0009171472775,5.377936657137383,,,
eps_f2_4,eps,f2,,-651.6023308574804,5.377936657137423,1031977889.0833341,881.0009171472775,5.377936657137383,,,
eps_f2_5,eps,f2,,25195.24685714132,5.377936657137472,1031980928.0833337,25201.000917147278,5.377936657137383,,,
eps_f2_8,eps,f2,,-52345.300706855094,709.0382314204033,1007181461.583334,1839.8643322809003,709.0382314204036,,,
eps_f2_12,eps,f2,,51042.09604514015,709.0382314204035,1007227715.5833338,51049.894046361675,709.0382314204036,,,
eps_f2_13,eps,f2,,-104038.99908285271,1412.6985261836699,995190019.1666675,9508.021316285289,1412.6985261836696,,,
eps_f2_18,eps,f2,,25195.24685714132,1412.6985261836699,995216964.166667,25207.519786355857,1412.6985261836696,,,
eps_f2_19,eps,f2,,51042.09604514015,1412.6985261836699,995307920.2500001,51058.47452686257,1412.6985261836696,,,
eps_f2_22,eps,f2,,-52345.300706855094,2116.358820946936,985654728.5833341,4799.793916972711,2116.358820946936,,,
eps_f2_23,eps,f2,,-26498.45151885628,2116.3588209469362,985681162.083334,5140.2244042481325,2116.358820946936,,,
eps_f2_24,eps,f2,,-651.6023308574804,2116.3588209469353,985694642.9166673,7036.801334475778,2116.358820946936,,,
eps_f2_25,eps,f2,,25195.24685714132,2116.358820946936,985685012.9166669,25201.218672198404,2116.358820946936,,,
eps_f2_26,eps,f2,,51042.09604514015,2116.3588209469353,985712978.8333335,51051.35423381714,2116.358820946936,,,
eps_f2_29,eps,f2,,-52345.300706855094,2820.0191157102026,981840959.5000007,-4506.590175133228,2820.019115710202,,,
eps_f2_32,eps,f2,,25195.24685714132,2820.0191157102017,981868827.5833336,25202.377100983867,2820.019115710202,,,
eps_f2_33,eps,f2,,51042.09604514015,2820.0191157102017,981894816.5833336,51047.241543831246,2820.019115710202,,,
eps_f2_36,eps,f2,,-52345.300706855094,3523.679410473468,978935806.4166671,3900.624831044639,3523.6794104734686,,,
eps_f2_39,eps,f2,,25195.24685714132,3523.6794104734686,978922024.3333334,25196.070731025073,3523.6794104734686,,,
eps_f2_40,eps,f2,,51042.09604514015,3523.6794104734677,978943575.3333335,51046.070731025044,3523.6794104734686,,,
eps_f2_44,eps,f2,,-26498.45151885628,4227.339705236734,977801316.6666666,-1653.9647287506086,4227.339705236734,,,
eps_f2_46,eps,f2,,25195.24685714132,4227.339705236734,977810682.1666671,25199.850945133774,4227.339705236734,,,
eps_f2_47,eps,f2,,51042.09604514015,4227.339705236734,977867485.4999999,51042.10415875472,4227.339705236734,,,
eps_f2_53,eps,f2,,25195.24685714132,4931.000000000001,977654889.1666673,25197.334199147852,4931.0,,,
eps_f2_54,eps,f2,,51042.09604514015,4931.0,977705089.6666665,51045.0488948414,4931.0,,,
eps_f2_55,eps,f2,,76888.94523313896,4931.0,1000576418.3333338,76888.94523313898,4931.0,,,
eps_f3_0,eps,f3,1041564832.9285722,,5.377936657137382,1041564832.9285723,49441.00091714729,5.377936657137383,,,
eps_f3_6,eps,f3,1009603187.2976198,,709.0382314204037,1009603187.2976199,54708.63491186399,709.0382314204036,,,
eps_f3_7,eps,f3,1041564832.9285722,,709.0382314204063,1041564832.928572,54752.70754696056,709.0382314204036,,,
eps_f3_8,eps,f3,1073526478.5595244,,709.0382314204035,1073526478.5595248,54752.520532168855,709.0382314204036,,,
eps_f3_9,eps,f3,1105488124.1904767,,709.0382314204062,1105488124.1904767,54752.70754696056,709.0382314204036,,,
eps_f3_10,eps,f3,1137449769.821429,,709.0382314204061,1137449769.8214288,54752.70754696058,709.0382314204036,,,
eps_f3_13,eps,f3,1009603187.2976198,,1412.6985261836699,1009603187.2976197,59985.121576059886,1412.6985261836696,,,
eps_f3_14,eps,f3,1041564832.9285722,,1412.6985261836696,1041564832.9285715,60002.00139683686,1412.6985261836696,,,
eps_f3_15,eps,f3,1073526478.5595244,,1412.6985261836696,1073526478.5595244,60002.00139683687,1412.6985261836696,,,
eps_f3_18,eps,f3,1169411415.4523811,,1412.6985261836694,1169411415.4523811,60002.00139683686,1412.6985261836696,,,
eps_f3_19,eps,f3,1201373061.0833335,,1412.6985261836696,1201373061.0833335,60002.00139683689,1412.6985261836696,,,
eps_f3_20,eps,f3,1009603187.2976198,,2116.358820946936,1009603187.2976199,65208.50460266127,2116.358820946936,,,
eps_f3_21,eps,f3,1041564832.9285722,,2116.358820946936,1041564832.9285722,65214.68562752727,2116.358820946936,,,
eps_f3_24,eps,f3,1137449769.821429,,2116.358820946936,1137449769.8214288,65214.68562752729,2116.358820946936,,,
eps_f3_27,eps,f3,1009603187.2976198,,2820.019115710202,1009603187.2976199,70348.72198305509,2820.019115710202,,,
eps_f3_33,eps,f3,1201373061.0833335,,2820.0191157102017,1201373061.0833335,70348.15934881232,2820.019115710202,,,
eps_f3_34,eps,f3,1009603187.2976198,,3523.6794104734677,1009603187.2976199,73693.90607289197,3523.6794104734686,,,
eps_f3_41,eps,f3,1009603187.2976198,,4227.3397052367345,1009603187.2976197,75456.9617761687,4227.339705236734,,,
eps_f3_42,eps,f3,1041564832.9285722,,4227.339705236734,1041564832.9285723,75456.62692595701,4227.339705236734,,,
eps_f3_43,eps,f3,1073526478.5595244,,4227.339705236733,1073526478.5595244,75456.9617761687,4227.339705236734,,,
eps_f3_48,eps,f3,977641541.6666676,,4931.0,977641541.6666669,21184.92511087042,4931.0,,,
wgt_1,weighting,,,,3286.99825595368,992834652.2500002,72931.88013656803,,0.1,0.2,0.7
