sol_id,method,primary,eps_f2,eps_f3,f1,f2,f3,eps_f1,w1,w2,w3,tag
eps_f1_0,eps,f1,977641541.6666676,-104038.99908285272,4403.021637217647,977641541.6666667,3184.9251108704198,,,,,extremo: min f2 (mínimo coste)
eps_f1_12,eps,f1,1009603187.2976198,76888.94523313896,4921.663863998448,1009603187.2976208,76888.94523313906,,,,,extremo: max f3 (máximo bienestar)
eps_f1_37,eps,f1,1137449769.821429,-104038.99908285272,5.377936657083902,1137449769.8214288,-47483.9990828527,,,,,extremo: min f1 (máxima equidad)
eps_f3_6,eps,f3,1009603187.2976198,,709.0382314204037,1009603187.29762,54708.63491186399,709.0382314204036,,,,compromise: Linf
wgt_16,weighting,,,,523.529797955335,1011546182.6666667,53131.42825355855,,0.3,0.5,0.2,compromise: L2
wgt_7,weighting,,,,398.5380708373408,1015252170.8333336,52369.99540645233,,0.3,0.3,0.4,compromise: L1
eps_f2_33,eps,f2,,51042.09604514015,2820.0191157102017,981894816.5833336,51047.241543831246,2820.019115710202,,,,diversidad: farthest-point
wgt_61,weighting,,,,497.49544952924384,1012167333.8333336,-17281.099053254155,,0.4,0.6,0.0,diversidad: farthest-point
wgt_32,weighting,,,,5.485319683708566,1200962483.0833335,49455.96558705352,,0.3,0.0,0.7,diversidad: farthest-point
eps_f3_33,eps,f3,1201373061.0833335,,2820.0191157102017,1201373061.0833335,70348.15934881232,2820.019115710202,,,,diversidad: farthest-point
